JUMLAH_TAN,VOLUME_CURAH_HUJAN,JUMLAH_HARI_HUJAN,UREA,KCL,DOLOMITE,ROCK_PHOSPHATE,BORATE,HEKTAR_TANAM,PRODUKSI
248666, 240 , 12 ,159571,5574,40427,19563,172,1867.9,1195749
248666, 133 , 10 ,159571,5574,40427,19563,172,1867.9,796252
248666, 100 , 6 ,159571,5574,40427,19563,172,1867.9,800215
248666, 178 , 14 ,159571,5574,40427,19563,172,1867.9,894057
248666, 231 , 16 ,159571,5574,40427,19563,172,1867.9,967690
248666, 82 , 5 ,159571,5574,40427,19563,172,1867.9,934231
248666, 162 , 11 ,159571,5574,40427,19563,172,1867.9,1251121
248666, 213 , 14 ,159571,5574,40427,19563,172,1867.9,1340473
248666, 273 , 17 ,159571,5574,40427,19563,172,1867.9,1519345
248666, 151 , 10 ,159571,5574,40427,19563,172,1867.9,1724368
248666, 445 , 19 ,159571,5574,40427,19563,172,1867.9,1453070
248666, 246 , 22 ,159571,5574,40427,19563,172,1867.9,1066650
271420, 87 , 13 ,1457,163891,17928,18522,10664,2036.29,13943220
271420, 104 , 8 ,1457,163891,17928,18522,10664,2036.29,1415753
271420, 166 , 13 ,1457,163891,17928,18522,10664,2036.29,1495619
271420, 260 , 10 ,1457,163891,17928,18522,10664,2036.29,1679019
271420, 215 , 17 ,1457,163891,17928,18522,10664,2036.29,1363934
271420, 168 , 10 ,1457,163891,17928,18522,10664,2036.29,1031496
271420, 81 , 4 ,1457,163891,17928,18522,10664,2036.29,1466386
271420, 145 , 13 ,1457,163891,17928,18522,10664,2036.29,1794881
271420, 57 , 6 ,1457,163891,17928,18522,10664,2036.29,1911432.482
271420, 321 , 14 ,1457,163891,17928,18522,10664,2036.29,1782197
271420, 195 , 16 ,1457,163891,17928,18522,10664,2036.29,1650557.094
271420, 429 , 17 ,1457,163891,17928,18522,10664,2036.29,1154011
271420, 257 , 19 ,116031,103411,31250,62522,38106,2036.29,1715210.9
271420, 146 , 7 ,116031,103411,31250,62522,38106,2036.29,1249014.059
271420, 268 , 14 ,116031,103411,31250,62522,38106,2036.29,1488787.014
271420, 405 , 16 ,116031,103411,31250,62522,38106,2036.29,1643073.845
271420, 214 , 14 ,116031,103411,31250,62522,38106,2036.29,1585970
271420, 229 , 14 ,116031,103411,31250,62522,38106,2036.29,1582257
271420, 110 , 14 ,116031,103411,31250,62522,38106,2036.29,1521534
271420, 46 , 14 ,116031,103411,31250,62522,38106,2036.29,2348196.39
271420, 5 , 2 ,116031,103411,31250,62522,38106,2036.29,2116011.277
271420, 90 , 8 ,116031,103411,31250,62522,38106,2036.29,2324575.513
271420, 296 , 16 ,116031,103411,31250,62522,38106,2036.29,2279322.078
271420, 156 , 11 ,116031,103411,31250,62522,38106,2036.29,1610174.15
271420, 244 , 13 ,678171,891,411956,385487,35034,2036.29,1775716.853
271420, 374 , 18 ,678171,891,411956,385487,35034,2036.29,1421018.199
271420, 422 , 13 ,678171,891,411956,385487,35034,2036.29,1563762.512
271420, 450 , 16 ,678171,891,411956,385487,35034,2036.29,1433944.294
271420, 228 , 10 ,678171,891,411956,385487,35034,2036.29,1295330.52
271420, 231 , 9 ,678171,891,411956,385487,35034,2036.29,1649528.945
271420, 423 , 12 ,678171,891,411956,385487,35034,2036.29,1734758.247
271420, 107 , 6 ,678171,891,411956,385487,35034,2036.29,2305920.39
271420, 602 , 12 ,678171,891,411956,385487,35034,2036.29,2480963.012
271420, 265 , 10 ,678171,891,411956,385487,35034,2036.29,2792167.17
271420, 379 , 19 ,678171,891,411956,385487,35034,2036.29,2157402.152
271420, 159 , 13 ,678171,891,411956,385487,35034,2036.29,1884427.015
271420, 98 , 10 ,604417,713043,340952,368407,36398,2036.29,2601451.792
271420, 191 , 11 ,604417,713043,340952,368407,36398,2036.29,2342859.371
271420, 156 , 15 ,604417,713043,340952,368407,36398,2036.29,2285292.079
271420, 440 , 18 ,604417,713043,340952,368407,36398,2036.29,1773805.69
271420, 417 , 12 ,604417,713043,340952,368407,36398,2036.29,1883858.915
271420, 41 , 4 ,604417,713043,340952,368407,36398,2036.29,1631606.967
271420, 151 , 9 ,604417,713043,340952,368407,36398,2036.29,2145182.06
271420, 215 , 16 ,604417,713043,340952,368407,36398,2036.29,2188640.393
271420, 308 , 13 ,604417,713043,340952,368407,36398,2036.29,2197500.414
271420, 125 , 11 ,604417,713043,340952,368407,36398,2036.29,2335964.521
271420, 344 , 17 ,604417,713043,340952,368407,36398,2036.29,2258298.986
271420, 219 , 19 ,604417,713043,340952,368407,36398,2036.29,1805681.415
